timestamp,conversation_id,user_message,intent,confidence,bot_response,total_response_time_ms,coverage
2025-09-29T17:42:15.259743,33f7b11bcc7a4baeaae53be9505c228c,haii,pembuka,0.9998459815979004,Hai! Silakan tanyakan tentang layanan akademik yang Anda butuhkan.,329.00,1
2025-09-29T17:43:13.509615,33f7b11bcc7a4baeaae53be9505c228c,nina,nlu_fallback,0.9406256675720215,"Maaf, saya belum dapat membantu anda untuk pertanyaan tersebut.",15.00,0
2025-09-29T17:43:50.942278,33f7b11bcc7a4baeaae53be9505c228c,Apa jadwal layanan akademik fsm?,nlu_fallback,0.7,"Mohon maaf, saya belum dapat menjawab pertanyaan anda. Silakan hubungi Subbag Akademik langsung.",15.00,0
2025-09-29T17:44:49.685729,33f7b11bcc7a4baeaae53be9505c228c,kapan akademik fsm buka layanan?,tanya_jadwal,0.887120246887207,"Informasi Jadwal Layanan:

Jam Operasional: Senin - Jumat, 08.00 - 16.00 WIB
Lokasi: Gedung Acintya Prasada Lt. 1, Fakultas Sains dan Matematika, UNDIP
Hari Libur: Mengikuti kalender akademik UNDIP
",18.01,1
2025-10-07T21:32:00.855567,thia,halo,pembuka,0.9997606873512268,Halo! Saya chatbot layanan akademik FSM. Ada yang bisa saya bantu hari ini?,357.12,1
2025-10-07T21:33:01.401359,thia,boleh beri tau kontak layanan akademik fsm?,tanya_kontak,0.9915273785591125,"Kontak Layanan Akademik FSM:

Subbag Akademik dan Kemahasiswaan
Telepon: (024) 747 4754
Email: akademikfsm@live.undip.ac.id
",8.64,1
2025-10-07T21:36:21.606221,thia,boleh beri tau kontak layanan akademik fsm?,tanya_kontak,0.9915273785591125,"Kontak Layanan Akademik FSM:

Subbag Akademik dan Kemahasiswaan
Telepon: (024) 747 4754
Email: akademikfsm@live.undip.ac.id
",8.68,1
2025-10-08T09:18:20.712803,web-user,halo,pembuka,0.9997606873512268,Halo! Saya chatbot layanan akademik FSM. Ada yang bisa saya bantu hari ini?,586.67,1
2025-10-08T09:48:00.480773,web-user,halo,pembuka,0.9997606873512268,Halo! Saya chatbot layanan akademik FSM. Ada yang bisa saya bantu hari ini?,565.04,1
2025-10-08T09:48:17.472711,web-user,info prosedur layanan legalisir ijazah,tanya_legalisir,0.9970507621765137,"Prosedur Legalisir Ijazah dan Transkrip (Maksimal 3 hari kerja):

1. Serahkan fotokopi ijazah/transkrip/sertifikat beserta aslinya ke Subbag Akademik
2. Petugas memeriksa keabsahan dan memberikan cap
3. Supervisor memeriksa dan memberi paraf
4. Dekan/Wakil Dekan menandatangani
5. Petugas memberikan stempel fakultas
6. Ambil legalisir dengan membawa aslinya dan tanda tangan di buku pengambilan
",15.98,1
2025-10-08T09:52:44.699085,web-user,info cuti akademik,tanya_cuti_akademik,0.9828011989593506,"Prosedur Cuti Akademik (Maksimal 3 hari kerja):

1. Unduh, isi, dan tandatangani Form Cuti Akademik, lampirkan persyaratan dan isi online via SIAP
2. Minta persetujuan dan tanda tangan Ketua Program Studi
3. Serahkan form yang sudah ditandatangani ke Dekan untuk disposisi ke Subbag Akademik dan Kemahasiswaan
4. Subbag Akademik memeriksa kelengkapan dan memproses
5. Dekan menandatangani Surat Izin Dekan
6. Subbag Sumber Daya memberi nomor surat dan mengirimkannya
7. Mahasiswa dapat mengambil Surat Izin Dekan di loket akademik
",16.10,1
2025-10-08T09:54:25.921155,web-user,kalo soal info beasiswa itu ngurusnya dimana ya,nlu_fallback,0.7,"Mohon maaf, saya belum dapat menjawab pertanyaan anda. Silakan hubungi Subbag Akademik langsung.",15.70,0
2025-10-08T09:54:40.275579,web-user,surat rekomendasi beasiswa bagaimana ya cara mengajukannya,tanya_rekomendasi_beasiswa,0.9930167198181152,"Prosedur Pengajuan Rekomendasi Beasiswa (Maksimal 3 hari 45 menit):

1. Download dan isi formulir Surat Rekomendasi Beasiswa ke Subbag Akademik
2. BAK Fakultas meneliti dan memverifikasi
3. BAK memberikan paraf dan nomor surat
4. Wakil Dekan menandatangani
5. Ambil surat di BAK Fakultas dan catat bukti pengambilan
",24.10,1
2025-10-08T09:55:07.132393,web-user,kalender akademik,nlu_fallback,0.7,"Maaf, saya belum dapat membantu anda untuk pertanyaan tersebut.",17.78,0
2025-10-08T09:55:18.130506,web-user,dokumen pengajuan cuti bisa akses dimana ya,nlu_fallback,0.7,"Mohon maaf, saya belum dapat menjawab pertanyaan anda. Silakan hubungi Subbag Akademik langsung.",12.68,0
